"","fid","full_id","osm_id","osm_type","lit","natural","circumf","species","height","leaf_cyc","leaf_typ","denot","hwy_x","lamp_mnt","mat_x","power","lamp_typ","hwy_y","stop","direct","mat_y","trfc_clm","trfc_sig_dir","noexit","crs_mrk","gate_typ","name_en","addr_strt","addr_pstc","addr_hsnm","slpd_curb","kerb","lift_gt_typ","crssng","btn_oprtd","amenity","entrance","bus","pub_trns","name","rlwy","acc","barrier","trfc_sig","hwy","mot_veh","horse","foot","oneway","surface","bike","covered","embnkmt","brdg_nam","trl_vis","mtb_uphl","mtb_scl","incline","golf","width","segrgtd","footway","tunnel","layer","bridge","service","cnstrct","lns_fwd","lns_bkwd","hgv","junction","alt_nam","ln_mrk","veh","sdwlk","psv","lanes","maxspd","loc_nam","wkt_geom"
"1",722,"n4310616176",4310616176,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6466896, 52.1001453)
"2",746,"n4310616521",4310616521,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6473073, 52.0987002)
"3",753,"n4310817166",4310817166,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6473144, 52.0972386)
"4",755,"n4310817181",4310817181,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6473145, 52.0952058)
"5",721,"n4310616175",4310616175,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6473243, 52.1001457)
"6",720,"n4310616174",4310616174,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6478742, 52.1001459)
"7",745,"n4310616520",4310616520,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6479211, 52.098699)
"8",719,"n4310616171",4310616171,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6484114, 52.1001462)
"9",8,"n250752683",250752683,"node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6488093, 52.0914403)
"10",744,"n4310616518",4310616518,"node",NA,NA,NA,NA,NA,NA,NA,NA,"street_lamp",NA,NA,"pole","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-106.6488654, 52.0986993)
