wkt_geom,fid,full_id,osm_id,osm_type,highway,service,railway,construction,lanes:forward,lanes:backward,lit,hgv,junction,motor_vehicle,alt_name,lane_markings,foot,bicycle,vehicle,sidewalk,psv,access,horse,lanes,maxspeed,oneway,surface,loc_name,name
"LineString (-106.67040699999999731 52.09883020000000187, -106.67009389999999769 52.09879690000000352, -106.66984689999999603 52.09871319999999884, -106.66952499999999304 52.09844840000000232, -106.6685942999999952 52.09762059999999906, -106.66817109999999502 52.09716130000000334, -106.6677846000000045 52.0967490999999967, -106.66729560000000276 52.09619529999999799, -106.66663450000000068 52.0953780999999978, -106.66562170000000265 52.0941970000000012, -106.66528689999999813 52.09379619999999989, -106.66519110000000126 52.09364099999999809, -106.66516919999999402 52.09346860000000135, -106.66522559999999942 52.09331079999999758, -106.66534049999999922 52.09317860000000167, -106.66546800000000417 52.09307280000000162, -106.66562969999999666 52.09301020000000193, -106.66578339999999514 52.09297020000000344, -106.66589220000000182 52.09295110000000051, -106.66632669999999905 52.09291290000000174, -106.66675309999999399 52.09289460000000105)",82,w23343987,23343987,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,asphalt,NULL,Jasper Avenue
"LineString (-106.65162270000000433 52.08752590000000282, -106.65148360000000594 52.087993400000002, -106.65139050000000509 52.08830619999999811, -106.6512867 52.08865500000000281, -106.65121929999999395 52.08888129999999705, -106.65125360000000398 52.08909229999999724)",85,w23344175,23344175,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,asphalt,NULL,Brand Place
"LineString (-106.65455950000000485 52.08756629999999888, -106.65456050000000232 52.08780149999999765, -106.65456100000000106 52.08792239999999651, -106.65456539999999563 52.08899509999999822, -106.65456670000000372 52.08930320000000336)",86,w23344176,23344176,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,asphalt,NULL,Brand Court
"LineString (-106.66690090000000168 52.09227270000000232, -106.66674879999999348 52.09231659999999664, -106.66656159999999431 52.09232930000000295, -106.66502479999999764 52.09231809999999996, -106.66469549999999344 52.09229030000000193, -106.66419109999999648 52.09224760000000032, -106.66365170000000262 52.09216190000000068, -106.6634851000000026 52.09213539999999654, -106.66325860000000603 52.09209940000000216, -106.66226240000000303 52.09183769999999924, -106.66114740000000438 52.09141580000000005, -106.66053549999999461 52.09110900000000299, -106.6600861000000009 52.0908085000000014, -106.65990290000000584 52.09062089999999756, -106.65972109999999873 52.09043470000000298, -106.65926070000000436 52.09001099999999695)",87,w23344202,23344202,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,gravel,NULL,Portage Avenue
"LineString (-106.66705500000000484 52.09121619999999808, -106.66625460000000203 52.09099880000000127, -106.66593029999999942 52.09091080000000318, -106.66515929999999912 52.09070140000000038, -106.66496010000000183 52.09064719999999937, -106.66412929999999903 52.0904215999999991, -106.66409199999999657 52.09041150000000187, -106.66350959999999759 52.09025330000000054, -106.66339159999999708 52.090221200000002, -106.66310509999999567 52.09014340000000232, -106.66272600000000637 52.09004039999999947, -106.66243260000000248 52.08996069999999889, -106.6616001999999952 52.08973660000000194, -106.66117280000000278 52.08962139999999863, -106.66094979999999737 52.08955989999999758, -106.6605148000000014 52.08943990000000213, -106.65989159999999458 52.08926790000000295, -106.65956710000000385 52.08917840000000155, -106.6594582000000031 52.08914839999999913, -106.65937370000000328 52.08912509999999685, -106.65901610000000233 52.08902640000000162, -106.65831559999999456 52.08883310000000222, -106.65821830000000148 52.08880630000000167, -106.65800590000000625 52.08874769999999899)",88,w23344207,23344207,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,Edson Street
"LineString (-106.66675309999999399 52.09289460000000105, -106.66924070000000313 52.09294919999999962, -106.67031950000000506 52.09297790000000106, -106.67050829999999451 52.09298019999999951)",119,w136441115,136441115,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,asphalt,NULL,Jasper Avenue
"LineString (-106.66690090000000168 52.09227270000000232, -106.66701639999999429 52.09215209999999985, -106.66704380000000185 52.09207250000000045, -106.66705269999999928 52.09139090000000039, -106.66705500000000484 52.09121619999999808, -106.66705059999999605 52.09088609999999875, -106.66704570000000274 52.09051159999999925, -106.66704149999999629 52.09020869999999803, -106.66703830000000153 52.08997620000000239, -106.66702929999999583 52.08933489999999722, -106.66705500000000484 52.08916080000000193, -106.66724739999999372 52.08884849999999744, -106.66729540000000043 52.08877059999999659)",236,w281649336,281649336,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,asphalt,NULL,Jasper Avenue South
"LineString (-106.65926070000000436 52.09001099999999695, -106.65919569999999794 52.08995120000000156, -106.65841159999999377 52.08922950000000185, -106.65807540000000131 52.08892010000000283, -106.65800590000000625 52.08874769999999899, -106.65804300000000637 52.08866520000000122, -106.65812870000000601 52.08847519999999776, -106.65830259999999896 52.08825310000000286, -106.65852959999999428 52.08796310000000318, -106.65873550000000591 52.08770439999999979, -106.65896329999999637 52.08741220000000283, -106.65935380000000521 52.0869113999999982, -106.65954490000000021 52.08666629999999742)",273,w428491075,428491075,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,asphalt,NULL,Portage Avenue
"LineString (-106.66935130000000242 52.0893650000000008, -106.66919280000000469 52.0893107999999998, -106.66875450000000569 52.08916080000000193, -106.66855289999999457 52.08910689999999732, -106.66832650000000626 52.08904629999999969, -106.66823770000000593 52.08902259999999984, -106.66729540000000043 52.08877059999999659, -106.66710019999999304 52.08871760000000251, -106.66674500000000592 52.08862119999999862, -106.66222659999999678 52.08739440000000087, -106.66019799999999407 52.08684360000000169, -106.65981460000000425 52.08673950000000019, -106.65954490000000021 52.08666629999999742, -106.65926749999999856 52.08659130000000204, -106.65888619999999776 52.08648809999999685, -106.65840369999999382 52.08635749999999831, -106.65793180000000007 52.0862298999999993, -106.65736979999999789 52.08607779999999821, -106.65718239999999639 52.08602710000000258, -106.65649000000000513 52.08583980000000224, -106.65640030000000138 52.08581550000000249, -106.65618419999999844 52.08575820000000078, -106.65600609999999904 52.08571100000000342, -106.65479890000000296 52.08538310000000138)",276,w428713564,428713564,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,asphalt,NULL,Melville Street
"LineString (-106.65531719999999893 52.09297719999999998, -106.6553169999999966 52.0929222999999979, -106.65531690000000253 52.09289100000000161, -106.65530889999999431 52.09056790000000348)",277,w429288280,429288280,way,unclassified,NULL,NULL,NULL,NULL,NULL,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,gravel,NULL,Broadway Avenue
"LineString (-106.6699291000000045 52.0893962999999971, -106.66961100000000329 52.0893872999999985, -106.66935130000000242 52.0893650000000008)",325,w478837193,478837193,way,unclassified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,asphalt,NULL,Melville Street
