wkt_geom,fid,full_id,osm_id,osm_type,highway,covered,embankment,bridge:name,trail_visibility,mtb:scale:uphill,mtb:scale,incline,kerb,crossing:markings,golf,crossing,width,horse,motor_vehicle,segregated,access,footway,foot,lit,tunnel,layer,bridge,name,oneway,surface,bicycle
"LineString (-106.64639520000000061 52.0900310000000033, -106.64639390000000674 52.09025599999999656, -106.64638239999999314 52.09026709999999838, -106.64634289999999339 52.09028409999999809, -106.646343200000004 52.09032690000000088, -106.64634420000000148 52.09039810000000159, -106.64628670000000454 52.0904342999999983, -106.64622439999999415 52.09047170000000193, -106.64629419999999982 52.09052030000000144, -106.64633240000000569 52.09056149999999974, -106.64636400000000549 52.09061410000000336, -106.64638109999999926 52.0906755999999973, -106.64637580000000128 52.09120250000000141, -106.6463657999999981 52.09194560000000251, -106.64636179999999399 52.09235509999999891, -106.64634259999999699 52.09239139999999679, -106.64633739999999307 52.09246710000000036, -106.64633469999999704 52.09255480000000205, -106.64635839999999689 52.09258390000000105, -106.64636629999999684 52.09289780000000292, -106.64644180000000517 52.09289729999999707, -106.64657359999999642 52.09289640000000077, -106.64667629999999576 52.09289549999999736, -106.64668090000000689 52.09297839999999979, -106.64668489999999679 52.09303239999999846, -106.64668539999999552 52.09303859999999986, -106.64666119999999694 52.09305710000000289, -106.64664759999999433 52.09308039999999806, -106.64663989999999671 52.0951367999999988, -106.64664019999999311 52.0951808000000014, -106.64667049999999904 52.095203699999999, -106.6467241999999942 52.09521660000000054, -106.64728700000000572 52.09521939999999773, -106.64751110000000267 52.09522059999999755, -106.6476092000000051 52.09522379999999941, -106.6478824000000003 52.09524530000000198, -106.64793380000000411 52.09523939999999698, -106.64795949999999891 52.09522530000000273, -106.64797110000000657 52.09519939999999849, -106.6479735000000062 52.09391409999999922, -106.64801079999999445 52.09383809999999926, -106.64807620000000554 52.09378790000000237, -106.64818359999999586 52.09376629999999864, -106.6501169999999945 52.09377349999999751, -106.65015900000000215 52.09375920000000093, -106.65017299999999523 52.09372330000000062, -106.65017299999999523 52.09338900000000194, -106.65017299999999523 52.09310930000000184, -106.65013329999999314 52.09305619999999948, -106.65007500000000107 52.09304039999999958, -106.64728809999999726 52.09303589999999673, -106.64675019999999961 52.09303799999999995, -106.64668539999999552 52.09303859999999986)",962,w428904372,428904372,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.64639239999999631 52.08952740000000148, -106.64639520000000061 52.0900310000000033)",963,w428904374,428904374,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,yes,NULL,NULL,NULL,NULL
"LineString (-106.64636629999999684 52.09289780000000292, -106.64619369999999776 52.09291770000000099)",977,w429291664,429291664,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65373429999999644 52.09304569999999757, -106.65371810000000607 52.09297990000000311, -106.65369979999999828 52.09290579999999693, -106.65368750000000375 52.09289739999999824, -106.65362659999999551 52.09285590000000354, -106.65352289999999869 52.09279719999999969, -106.65349650000000281 52.09277219999999886, -106.65348840000000052 52.09238500000000016, -106.6534987000000001 52.09233840000000271, -106.6535046000000051 52.09231129999999865, -106.65348430000000235 52.09224389999999971, -106.65331360000000416 52.092049099999997, -106.6533079000000015 52.09202530000000309, -106.65329930000000047 52.09198909999999927, -106.65335009999999727 52.09186799999999806, -106.65345379999999409 52.09176310000000143, -106.65356970000000558 52.0916994000000031, -106.65396400000000199 52.09155330000000106, -106.65409820000000707 52.09145459999999872, -106.65423640000000205 52.09127600000000058, -106.65429740000000436 52.09122849999999971, -106.65434820000000116 52.09121729999999673, -106.65445189999999798 52.09123230000000149, -106.65452910000000486 52.0912684999999982, -106.65466130000000078 52.09142210000000262, -106.65469579999999894 52.09149210000000352, -106.65469170000000076 52.09156320000000306, -106.65465310000000443 52.09160949999999701, -106.65440309999999613 52.09177559999999829, -106.65435229999999933 52.09183180000000135, -106.65435100000000546 52.09187810000000241, -106.65435019999999611 52.09190670000000267, -106.65437169999999867 52.09198119999999932, -106.65450439999999332 52.09200620000000015, -106.65458940000000609 52.09203550000000149, -106.65467789999999582 52.09209640000000263, -106.654688500000006 52.09212360000000075, -106.65467789999999582 52.09218560000000053, -106.65463889999999481 52.09222249999999832, -106.65456109999999512 52.09225630000000251, -106.65450090000000216 52.09225949999999727, -106.65444599999999298 52.09225519999999676, -106.65432769999999607 52.09220859999999931, -106.65429419999999539 52.09220359999999772, -106.65424339999999859 52.0922111000000001, -106.65390490000000057 52.09242840000000285, -106.65387749999999301 52.09245399999999648, -106.65386829999999918 52.09248209999999801, -106.65387749999999301 52.09285919999999948, -106.65389380000000585 52.09288920000000189, -106.65393240000000219 52.09290670000000034, -106.65399240000000702 52.0929126999999994, -106.6553169999999966 52.0929222999999979)",980,w429864573,429864573,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65435100000000546 52.09187810000000241, -106.65419190000000071 52.0919124999999994, -106.65398179999999684 52.09199279999999987, -106.65389500000000567 52.09204840000000303, -106.65376000000000545 52.09213479999999663, -106.6534987000000001 52.09233840000000271, -106.65335129999999708 52.09244329999999934, -106.65304310000000498 52.09262549999999692, -106.65295670000000428 52.09266279999999938, -106.65214880000000619 52.09280909999999665, -106.65208810000000028 52.09284639999999911, -106.65206240000000548 52.09288659999999993, -106.65206480000000511 52.09291089999999969)",981,w429864574,429864574,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65389500000000567 52.09204840000000303, -106.65366889999999955 52.09206449999999933, -106.65346110000000124 52.0920558999999983, -106.6533079000000015 52.09202530000000309, -106.65312950000000569 52.09198419999999885, -106.65267190000000141 52.09194550000000135)",982,w429864575,429864575,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65368750000000375 52.09289739999999824, -106.6536547999999982 52.09290790000000015, -106.65360250000000519 52.09291280000000057, -106.65206480000000511 52.09291089999999969, -106.65197720000000459 52.09291079999999852, -106.65151570000000447 52.09291040000000095, -106.65147550000000365 52.09290539999999936, -106.65144460000000493 52.09288730000000101, -106.65143079999999998 52.09286970000000139, -106.65142319999999643 52.09286010000000289, -106.65142989999999656 52.09248190000000278, -106.65144490000000133 52.09243120000000005, -106.65150389999999447 52.09230879999999786, -106.65161870000000022 52.09217910000000273, -106.65168730000000608 52.09212519999999813, -106.65211399999999742 52.09190799999999655, -106.65214869999999792 52.09189940000000263, -106.65219410000000266 52.09189659999999833, -106.65222950000000424 52.09190459999999945, -106.65241749999999854 52.09202909999999775, -106.6524452000000025 52.09203620000000257, -106.65251069999999345 52.09203999999999724, -106.65256770000000586 52.09203339999999827, -106.65261239999999532 52.09202200000000005, -106.65263849999999479 52.09200500000000034, -106.65266699999999389 52.09197180000000316, -106.65267190000000141 52.09194550000000135, -106.65266780000000324 52.09190459999999945, -106.65264550000000554 52.09186489999999736, -106.65254070000000297 52.09176879999999699, -106.65252689999999802 52.09174709999999919, -106.65252529999999354 52.09172530000000023, -106.6525400000000019 52.09170449999999875, -106.65301209999999799 52.09147120000000086, -106.65303749999999638 52.09145130000000279, -106.65305990000000236 52.09142049999999813, -106.65306990000000553 52.09139119999999679, -106.65306680000000483 52.09133630000000181, -106.65304449999999292 52.09130880000000019, -106.65299980000000346 52.09128139999999973, -106.65296209999999633 52.09127099999999899, -106.65287419999999941 52.09126669999999848, -106.65282340000000261 52.09127289999999988, -106.65277030000000025 52.09129269999999678, -106.65273709999999596 52.09132160000000056, -106.65268550000000403 52.09147449999999679, -106.65266630000000703 52.09150429999999687, -106.65262199999999382 52.0915346000000028, -106.6523057999999935 52.09168840000000245, -106.65226570000000095 52.0916963000000024, -106.65222540000000606 52.09169390000000277, -106.65216409999999314 52.09166989999999942, -106.6518166999999977 52.0913983000000016, -106.65174890000000119 52.09135330000000152, -106.65166259999999454 52.09131550000000033, -106.65157460000000356 52.09128840000000338, -106.65146930000000225 52.09126150000000166, -106.65136490000000435 52.09124580000000293, -106.65123049999999694 52.09123410000000121, -106.65012129999999502 52.09120750000000299, -106.64960960000000512 52.09119919999999837, -106.64955120000000477 52.09120399999999762, -106.64943529999999328 52.09122090000000327, -106.64932810000000529 52.09124920000000003, -106.64921760000000006 52.09129430000000127, -106.64892559999999833 52.09146230000000344, -106.6488822999999968 52.09149039999999786, -106.64880259999999623 52.09153729999999882, -106.64865880000000686 52.09163039999999967, -106.64859819999999502 52.0916872999999967, -106.64855310000000088 52.09174329999999742, -106.64852480000000412 52.09180039999999678, -106.64850710000000333 52.09188470000000137, -106.6485040999999967 52.0924424999999971, -106.64850710000000333 52.09278220000000204, -106.64850529999999651 52.09285390000000149, -106.64849649999999315 52.09288109999999961, -106.64848589999999717 52.09289470000000222, -106.6484504999999956 52.09291319999999814, -106.64841160000000286 52.0929191999999972, -106.64679590000000076 52.0929120999999995, -106.6467427999999984 52.09291100000000085, -106.64670390000000566 52.09290610000000044, -106.64667629999999576 52.09289549999999736)",983,w429872666,429872666,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65144460000000493 52.09288730000000101, -106.65144569999999646 52.09296549999999826, -106.6514456000000024 52.09303690000000131)",984,w429872667,429872667,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65033459999999366 52.09291770000000099, -106.65112770000000353 52.0929118000000031, -106.65117519999999729 52.09290940000000347, -106.65120880000000625 52.09290270000000334, -106.65123629999999366 52.09288829999999848, -106.65125439999999912 52.09286420000000106, -106.65125829999999496 52.09283949999999663, -106.65125829999999496 52.09258650000000301, -106.65126999999999668 52.09248339999999899, -106.65130779999999788 52.0923380999999992, -106.65137860000000103 52.09223169999999925, -106.65148360000000594 52.09212130000000229, -106.65152919999999881 52.09208470000000091, -106.65163189999999815 52.09201240000000155, -106.65203030000000695 52.0918171000000001, -106.6520517999999953 52.09180150000000253, -106.65205949999999291 52.09178020000000231, -106.65206030000000226 52.09175890000000209, -106.65204719999999838 52.09174370000000209, -106.65167900000000145 52.09145790000000176, -106.65161820000000148 52.09142150000000271, -106.65156349999999463 52.0913991999999979, -106.65143329999999366 52.09135950000000292, -106.65131700000000592 52.09133909999999901, -106.65123230000000376 52.09133680000000055, -106.65066149999999823 52.09132439999999775, -106.6506145000000032 52.09133719999999812, -106.65059039999999868 52.09135249999999928, -106.65057579999999859 52.09137599999999679, -106.65055519999999945 52.09170319999999776, -106.65051830000000166 52.09177429999999731, -106.65027179999999873 52.09201490000000234, -106.65022600000000352 52.09206400000000059, -106.65022480000000371 52.09215170000000228, -106.65021550000000161 52.09218340000000325, -106.65018630000000144 52.09221649999999926, -106.6501576 52.09223269999999673, -106.65014080000000263 52.09224209999999999, -106.65007070000000056 52.0922582000000034, -106.65002839999999651 52.09226009999999718, -106.64997839999999485 52.09225339999999704, -106.64996440000000177 52.09225150000000326, -106.64991440000000011 52.09223120000000051, -106.64987580000000378 52.09220849999999814, -106.64987220000000434 52.09220040000000296, -106.64986509999999953 52.09218429999999955, -106.64985740000000192 52.09213090000000079, -106.64986380000000565 52.09211859999999916, -106.64987580000000378 52.09209580000000273, -106.64991899999999703 52.09206700000000012, -106.65008690000000513 52.09200880000000211, -106.65011389999999381 52.09198839999999819, -106.65034880000000328 52.09177830000000142, -106.65038040000000308 52.09173849999999817, -106.650398899999999 52.09168929999999875, -106.65040729999999769 52.09164770000000289, -106.6504149999999953 52.09136039999999923, -106.65040120000000456 52.09134149999999863, -106.65037110000000098 52.09132439999999775, -106.65033719999999562 52.09131639999999663, -106.64961780000000147 52.0913031999999987, -106.64955999999999392 52.09130669999999697, -106.64947680000000219 52.09132110000000182, -106.64938060000000064 52.09134860000000344, -106.64934359999999458 52.09136420000000101, -106.64877799999999297 52.09170290000000136, -106.64875019999999495 52.09172720000000112, -106.64869969999999455 52.09180010000000038, -106.64868269999999484 52.09184410000000298, -106.64867809999999793 52.09187810000000241, -106.64866650000000448 52.09286300000000125, -106.6486818999999997 52.09288899999999956, -106.64869930000000409 52.09289780000000292, -106.64871270000000436 52.09290459999999712, -106.64875589999999761 52.0929126999999994, -106.65033459999999366 52.09291770000000099)",985,w429872668,429872668,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65033459999999366 52.09291770000000099, -106.65033339999999384 52.09297159999999849, -106.65033230000000231 52.09307969999999699, -106.65032610000000091 52.09310370000000034, -106.65032320000000254 52.09338900000000194, -106.65031810000000689 52.09370679999999965, -106.65034079999999506 52.09374160000000131, -106.65040120000000456 52.09375630000000257, -106.65236459999999852 52.09375889999999742, -106.65250140000000556 52.09378430000000293, -106.65259260000000552 52.09384029999999655, -106.65261669999999583 52.09389139999999685, -106.65268910000000346 52.09436759999999822, -106.65275350000000287 52.09459830000000125, -106.65287960000000567 52.09486859999999808, -106.65319069999999613 52.09538599999999775, -106.6533141000000029 52.09551940000000059, -106.65336770000000399 52.09553590000000156, -106.65354209999999568 52.09551780000000321, -106.65391030000000683 52.09545529999999758, -106.65394980000000658 52.09544859999999744, -106.6543843000000038 52.09534969999999987, -106.65441380000000038 52.0953267000000011, -106.65440839999999412 52.09529040000000322, -106.65404630000000452 52.09473510000000118, -106.6538960999999972 52.09444009999999992, -106.65382370000000378 52.09418139999999653, -106.65378880000000095 52.09403970000000328, -106.65377010000000269 52.09384519999999696, -106.65376519999999516 52.09338220000000064, -106.6537620000000004 52.09307400000000143, -106.65373429999999644 52.09304569999999757, -106.65368420000000071 52.09303280000000314, -106.6514456000000024 52.09303690000000131, -106.65060769999999479 52.09303779999999762, -106.65039960000000008 52.09303870000000103, -106.65035369999999659 52.09305659999999705, -106.65033230000000231 52.09307969999999699)",986,w429872669,429872669,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
