wkt_geom,fid,full_id,osm_id,osm_type,natural,circumference,species,height,leaf_cycle,lit,leaf_type,denotation
Point (-106.65359100000000581 52.09289079999999927),3418,n4290647145,4290647145,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65346300000000213 52.09289199999999909),3419,n4290647146,4290647146,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65335120000000302 52.09289199999999909),3420,n4290647147,4290647147,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.6532190000000071 52.09289199999999909),3421,n4290647148,4290647148,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65307470000000478 52.09289199999999909),3422,n4290647149,4290647149,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65294459999999788 52.09288829999999848),3423,n4290647150,4290647150,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65280029999999556 52.09288949999999829),3424,n4290647151,4290647151,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65265390000000423 52.09289330000000007),3425,n4290647152,4290647152,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65251159999999686 52.09289449999999988),3426,n4290647153,4290647153,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65237140000000693 52.09289079999999927),3427,n4290647154,4290647154,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65225350000000049 52.09289330000000007),3428,n4290647155,4290647155,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65212950000000092 52.09289199999999909),3429,n4290647156,4290647156,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,avenue
Point (-106.65211320000000228 52.09279709999999852),3430,n4290647157,4290647157,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65222909999999956 52.09275840000000102),3431,n4290647158,4290647158,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65234499999999684 52.09273840000000177),3432,n4290647159,4290647159,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65247510000000375 52.09271220000000113),3433,n4290647160,4290647160,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65260510000000238 52.09269350000000287),3434,n4290647161,4290647161,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65271690000000149 52.09267100000000283),3435,n4290647162,4290647162,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
